aX,aY,aZ,gX,gY,gZ
-0.052,-0.243,0.975,-0.427,-1.099,1.465
-0.049,-0.242,0.977,-0.061,-1.282,1.770
-0.045,-0.241,0.976,-0.122,-1.831,2.136
-0.045,-0.240,0.976,0.122,-3.784,3.784
-0.048,-0.236,0.976,0.732,-5.127,4.883
-0.048,-0.235,0.975,2.136,-6.348,6.348
-0.044,-0.235,0.979,2.869,-6.287,7.019
-0.045,-0.244,0.985,4.395,-7.080,9.277
-0.046,-0.249,0.986,5.005,-8.301,10.193
-0.047,-0.255,0.984,5.554,-11.230,11.658
-0.054,-0.263,0.982,5.859,-12.878,11.902
-0.056,-0.271,0.971,5.615,-15.442,12.024
-0.078,-0.285,0.950,4.456,-15.381,12.146
-0.104,-0.286,0.942,1.892,-13.123,11.414
-0.110,-0.284,0.944,0.610,-11.230,10.498
-0.100,-0.280,0.954,-0.854,-7.141,7.202
-0.092,-0.271,0.956,-1.648,-5.737,5.798
-0.084,-0.259,0.962,-3.418,-4.211,4.578
-0.084,-0.253,0.965,-5.127,-2.991,3.235
-0.088,-0.238,0.964,-5.676,-2.808,2.686
-0.092,-0.234,0.964,-4.517,-3.113,1.770
-0.096,-0.230,0.964,-3.601,-3.235,1.343
-0.095,-0.229,0.963,-2.686,-2.258,0.610
-0.091,-0.235,0.967,-2.136,-1.648,0.427
-0.090,-0.238,0.969,-1.953,-1.404,0.671
-0.093,-0.248,0.963,-2.075,-1.526,1.099
-0.095,-0.252,0.956,-2.502,-0.977,1.160
-0.100,-0.260,0.956,-2.380,-0.427,1.038
-0.088,-0.256,0.970,-1.343,1.282,0.061
-0.076,-0.253,0.977,-0.732,1.770,-0.061
-0.065,-0.255,0.979,-0.732,1.221,1.465
-0.071,-0.259,0.975,-0.732,0.061,2.258
-0.088,-0.268,0.964,-0.549,-2.319,2.625
-0.095,-0.268,0.959,-0.793,-2.869,2.258
-0.103,-0.263,0.960,-1.221,-2.258,1.282
-0.100,-0.261,0.960,-1.343,0.000,0.061
-0.091,-0.256,0.961,-2.014,1.221,-0.305
-0.088,-0.252,0.961,-3.113,2.319,-0.671
-0.084,-0.241,0.964,-2.991,2.380,-0.732

-0.366,-0.581,1.802,-74.280,-32.349,3.906
-0.353,-0.592,1.809,-150.513,-8.118,-3.235
-0.332,-0.518,1.599,-167.541,-19.226,-6.042
-0.365,-0.420,1.361,-164.062,-55.298,-16.113
-0.355,-0.379,1.283,-165.466,-51.941,-31.982
-0.302,-0.292,1.202,-171.143,-41.809,-37.415
-0.265,-0.237,1.199,-177.612,-28.137,-42.114
-0.173,-0.066,1.194,-177.246,-30.029,-40.222
-0.164,0.029,1.153,-165.649,-51.270,-23.621
-0.252,0.115,1.093,-153.259,-61.646,-15.320
-0.294,0.126,1.112,-131.714,-62.622,-14.343
-0.297,0.185,1.233,-127.625,-57.312,-17.395
-0.276,0.218,1.287,-138.062,-52.673,-11.902
-0.279,0.248,1.280,-148.926,-55.847,-3.906
-0.288,0.250,1.235,-159.424,-71.533,7.202
-0.294,0.241,1.120,-157.471,-82.214,9.338
-0.331,0.186,0.972,-153.503,-103.394,10.925
-0.339,0.162,0.892,-155.945,-107.910,9.216
-0.310,0.143,0.780,-162.598,-105.164,2.808
-0.288,0.152,0.764,-165.222,-100.525,0.305
-0.255,0.153,0.760,-166.748,-95.276,-1.526
-0.208,0.143,0.672,-171.326,-95.703,-0.671
-0.201,0.157,0.594,-176.697,-101.074,-0.183
-0.191,0.194,0.440,-174.377,-104.980,-0.244
-0.228,0.185,0.330,-172.913,-106.812,5.310
-0.277,0.157,0.267,-175.476,-84.656,5.127
-0.292,0.186,0.248,-173.828,-66.772,-3.235
-0.236,0.251,0.276,-157.898,-50.598,-14.648
-0.187,0.332,0.243,-150.513,-53.955,-10.620
-0.212,0.352,0.174,-138.855,-68.359,2.136
-0.298,0.369,0.077,-130.676,-69.092,4.639
-0.334,0.371,0.088,-116.028,-51.086,-0.732
-0.355,0.420,0.098,-114.685,-39.490,-4.456
-0.412,0.507,0.031,-111.389,-29.297,-4.456
-0.450,0.534,0.030,-102.600,-28.198,-3.662
-0.520,0.556,0.073,-83.374,-26.123,-2.319
-0.557,0.563,0.079,-75.134,-26.306,-0.549
-0.636,0.588,0.019,-72.205,-28.442,-1.160
-0.675,0.606,-0.020,-60.791,-31.860,-6.897
-0.701,0.647,-0.088,-55.420,-29.907,-10.803
-0.693,0.683,-0.136,-50.598,-22.827,-12.878
-0.680,0.743,-0.238,-46.692,-22.583,-10.132
-0.688,0.754,-0.295,-33.020,-36.011,-0.183
-0.752,0.741,-0.425,-24.963,-45.105,5.371
-0.800,0.717,-0.474,-13.000,-47.913,13.977
-0.850,0.667,-0.520,-11.230,-38.208,14.832
-0.787,0.671,-0.547,-10.193,-15.259,9.216
-0.738,0.686,-0.551,2.380,-7.629,3.723
-0.641,0.704,-0.502,13.672,-6.226,2.625
-0.599,0.705,-0.460,35.095,-4.700,4.089
-0.562,0.707,-0.385,43.274,-3.723,5.798
-0.557,0.705,-0.369,53.955,6.287,7.507
-0.535,0.691,-0.368,56.580,13.489,7.568
-0.527,0.692,-0.375,62.195,23.499,9.277
-0.515,0.670,-0.347,69.397,28.076,12.634
-0.529,0.634,-0.319,89.111,33.020,18.188
-0.567,0.546,-0.227,97.473,37.964,18.555
-0.568,0.514,-0.180,104.431,54.871,16.296
-0.537,0.501,-0.119,105.713,61.096,16.235
-0.514,0.504,-0.095,116.333,58.289,20.203
