aX,aY,aZ,gX,gY,gZ
-0.809,0.671,0.753,13.672,13.672,10.986
-0.785,0.602,0.771,0.061,32.593,33.813
-0.704,0.240,0.713,0.610,42.358,42.114
-0.648,0.039,0.596,49.438,8.240,4.639
-0.564,-0.274,0.305,100.037,-39.124,-41.138
-0.505,-0.418,0.255,190.735,-63.293,-117.676
-0.117,-0.719,0.602,201.538,5.066,-121.948
0.455,-0.862,1.100,158.447,156.677,-93.262
0.677,-0.827,1.203,94.299,142.212,-77.820
0.766,-0.767,1.007,77.515,78.857,-68.420
0.629,-0.909,0.719,76.111,7.812,-55.420
0.344,-1.260,0.172,108.765,-79.712,-63.782
0.307,-1.213,0.236,168.457,-24.170,-106.689
0.468,-1.077,0.913,180.786,32.898,-103.516
0.458,-1.091,1.266,138.977,85.937,-53.772
0.328,-0.940,1.441,94.482,76.965,-33.630
0.262,-0.754,1.333,41.870,17.151,-16.174
0.073,-0.390,1.142,53.345,1.160,-19.836
0.052,-0.292,1.144,70.740,1.099,-28.503
0.158,-0.206,1.130,58.716,23.926,-23.621
0.206,-0.219,1.060,36.682,30.273,-5.676
-0.021,-0.380,0.796,12.756,-10.437,40.894
-0.266,-0.523,0.679,17.090,-43.701,53.955
-0.531,-0.684,0.606,22.827,-53.040,30.640
-0.484,-0.625,0.625,13.611,-26.306,8.362
-0.359,-0.505,0.683,2.319,22.095,-22.400
-0.065,-0.281,0.818,8.423,22.827,-26.672
-0.028,-0.260,0.840,23.926,-10.742,-6.775
-0.174,-0.371,0.784,22.644,-20.752,6.775
-0.253,-0.419,0.767,14.526,-11.658,14.587
-0.317,-0.441,0.837,14.709,-3.845,8.850
-0.301,-0.416,0.885,17.334,5.310,-4.395
-0.266,-0.363,0.949,18.921,5.737,-5.615
-0.277,-0.363,0.980,20.081,2.197,-1.892
-0.298,-0.384,1.033,14.587,2.869,1.343
-0.310,-0.383,1.007,0.488,4.883,9.399
-0.329,-0.389,0.978,0.610,0.183,10.559
-0.375,-0.424,0.951,11.230,-14.160,4.333
-0.370,-0.432,0.954,13.489,-15.564,-0.427
-0.334,-0.399,0.922,7.996,-9.277,-5.249
-0.311,-0.385,0.909,5.432,-5.981,-6.042
-0.270,-0.379,0.930,2.625,2.014,-5.615
-0.257,-0.385,0.967,2.258,7.812,-3.662
-0.217,-0.369,1.043,1.465,8.301,-3.601
-0.187,-0.349,1.038,-4.395,3.662,0.122
-0.199,-0.337,0.932,-5.188,-3.296,4.150
-0.245,-0.356,0.875,2.502,-18.616,6.653
-0.326,-0.397,0.833,5.493,-18.677,4.639
-0.332,-0.404,0.833,3.235,-4.517,0.427
-0.298,-0.384,0.865,2.869,1.160,-0.977
-0.278,-0.375,0.900,5.371,1.282,-2.991
-0.241,-0.349,0.941,4.089,0.305,-2.441
-0.232,-0.334,0.927,-1.526,-3.540,1.831
-0.258,-0.323,0.854,-1.526,-8.118,4.150
-0.289,-0.340,0.829,4.272,-12.634,5.371
-0.333,-0.381,0.845,6.348,-8.667,3.723
-0.324,-0.392,0.882,5.432,4.578,-2.380
-0.255,-0.365,0.963,1.953,9.216,-4.211
-0.222,-0.338,0.975,-4.944,7.202,-1.587
-0.222,-0.327,0.933,-6.348,1.404,1.770
-0.257,-0.341,0.897,-3.418,-9.521,6.409
-0.318,-0.377,0.858,0.366,-10.986,5.310
-0.324,-0.387,0.857,3.601,-5.371,0.244
-0.303,-0.383,0.880,1.709,-0.061,-1.404
-0.274,-0.355,0.875,-2.686,5.249,-1.831
-0.279,-0.355,0.872,-0.916,1.770,0.244
-0.291,-0.383,0.893,0.977,0.671,0.244
-0.284,-0.387,0.907,1.648,0.977,-0.366
-0.276,-0.379,0.913,-0.427,0.916,-0.305
-0.272,-0.359,0.889,-1.099,-0.732,-0.427
-0.290,-0.364,0.850,0.000,-3.296,-0.061
-0.302,-0.373,0.842,3.296,-3.357,-0.916
-0.298,-0.376,0.863,4.700,-1.526,-2.014
-0.285,-0.373,0.884,5.066,2.197,-3.113
-0.260,-0.364,0.919,3.845,2.380,-2.930
-0.255,-0.361,0.920,0.183,-0.061,-1.099
-0.266,-0.363,0.899,-0.488,-1.953,0.061
-0.271,-0.367,0.890,0.854,-3.662,0.549
-0.274,-0.372,0.881,1.587,-3.662,0.610
-0.278,-0.364,0.886,2.930,-3.784,0.549
-0.279,-0.365,0.893,2.502,-2.502,0.427
-0.275,-0.370,0.898,-1.404,1.648,1.587
-0.265,-0.373,0.882,-3.174,1.709,2.441
-0.274,-0.375,0.856,-1.892,-3.235,2.869
-0.282,-0.377,0.849,1.831,-5.066,1.404
-0.280,-0.379,0.870,2.625,-2.625,0.671
-0.273,-0.379,0.897,1.404,4.028,0.122
